Model,RGB,R,G,B,RG,GB,RB,Average,Dataset
RGB_CNN,0.5661271219897355,,,,,,,0.5661271219897355,Train
RG_CNN,,,,,0.5626056060007896,,,0.5626056060007896,Train
G_CNN,,,0.47924200552704305,,,,,0.47924200552704305,Train
DynamicConvNetwork,0.5909672325305961,0.47873667587840507,0.49793920252664825,0.46248716936439005,0.5608685353335965,0.5351598894591394,0.5504461113304382,0.5252292594890305,Train
RGB_CNN,0.5577777777777778,,,,,,,0.5577777777777778,Validation
RG_CNN,,,,,0.5311111111111111,,,0.5311111111111111,Validation
G_CNN,,,0.47555555555555556,,,,,0.47555555555555556,Validation
DynamicConvNetwork,0.5666666666666667,0.48,0.48444444444444446,0.44666666666666666,0.5422222222222223,0.5111111111111111,0.5155555555555555,0.5066666666666667,Validation
RGB_CNN,0.5511111111111111,,,,,,,0.5511111111111111,Test
RG_CNN,,,,,0.5733333333333334,,,0.5733333333333334,Test
G_CNN,,,0.5044444444444445,,,,,0.5044444444444445,Test
DynamicConvNetwork,0.6088888888888889,0.48,0.5066666666666667,0.4822222222222222,0.5555555555555556,0.5444444444444444,0.5533333333333333,0.533015873015873,Test
